Source,Target,buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
23,98,GRE,FRG,M-44A1 155mm,Self-propelled gun,12,Greece,Germany,0.32,3.84,3.84,10.451526,51.165691,21.824312,39.074208
23,98,GRE,FRG,M-52A1 105mm,Self-propelled gun,12,Greece,Germany,0.36,4.32,4.32,10.451526,51.165691,21.824312,39.074208
23,98,GRE,FRG,Noratlas,Transport aircraft,51,Greece,Germany,2.8,142.8,142.8,10.451526,51.165691,21.824312,39.074208
23,98,GRE,FRG,SUT,AS/ASW torpedo,50,Greece,Germany,1.1,55.0,55.0,10.451526,51.165691,21.824312,39.074208
23,64,ISR,FRG,Saar-3,FAC,6,Israel,Germany,47.25,283.5,283.5,10.451526,51.165691,34.851612,31.046051
23,28,NET,FRG,BPz-2,ARV,52,Netherlands,Germany,1.4,72.8,72.8,10.451526,51.165691,5.291266,52.132633
23,28,NET,FRG,BrPz-1 Biber,ABL,25,Netherlands,Germany,1.0,25.0,25.0,10.451526,51.165691,5.291266,52.132633
23,28,NET,FRG,Leopard-1A1,Tank,480,Netherlands,Germany,2.1,1008.0,1008.0,10.451526,51.165691,5.291266,52.132633
23,28,NET,FRG,PiPz-1,AEV,25,Netherlands,Germany,1.75,43.75,43.75,10.451526,51.165691,5.291266,52.132633
23,101,NIR,FRG,Commander,Light transport ac,1,Niger,Germany,0.5,0.5,0.5,10.451526,51.165691,8.081666,17.607789
23,61,NOR,FRG,BPz-2,ARV,6,Norway,Germany,1.4,8.4,8.4,10.451526,51.165691,8.468946,60.472024
23,61,NOR,FRG,Leopard-1A1,Tank,78,Norway,Germany,2.1,163.8,163.8,10.451526,51.165691,8.468946,60.472024
23,39,PAK,FRG,COBRA,Anti-tank missile,4000,Pakistan,Germany,0.01,40.0,40.0,10.451526,51.165691,69.345116,30.375321
23,88,POR,FRG,Coutinho,Corvette,3,Portugal,Germany,70.15,210.45,210.45,10.451526,51.165691,-8.224454,39.399872
23,88,POR,FRG,F-86F Sabre,Fighter aircraft,15,Portugal,Germany,1.4,21.0,21.0,10.451526,51.165691,-8.224454,39.399872
23,88,POR,FRG,Noratlas,Transport aircraft,18,Portugal,Germany,2.8,50.4,50.4,10.451526,51.165691,-8.224454,39.399872
23,68,TOG,FRG,Do-27,Light aircraft,2,Togo,Germany,0.048,0.096,0.096,10.451526,51.165691,0.824782,8.619543
23,49,TUR,FRG,COBRA,Anti-tank missile,6000,Turkey,Germany,0.01,60.0,60.0,10.451526,51.165691,35.243322,38.963745
23,49,TUR,FRG,Do-28D Skyservant,Light transport ac,15,Turkey,Germany,0.9,13.5,13.5,10.451526,51.165691,35.243322,38.963745
23,49,TUR,FRG,Jaguar,FAC,9,Turkey,Germany,17.5,157.5,157.5,10.451526,51.165691,35.243322,38.963745
23,49,TUR,FRG,M-44A1 155mm,Self-propelled gun,12,Turkey,Germany,0.32,3.84,3.84,10.451526,51.165691,35.243322,38.963745
23,49,TUR,FRG,M-48 Patton,Tank,600,Turkey,Germany,0.492,295.2,295.2,10.451526,51.165691,35.243322,38.963745
23,49,TUR,FRG,M-52A1 105mm,Self-propelled gun,12,Turkey,Germany,0.36,4.32,4.32,10.451526,51.165691,35.243322,38.963745
23,49,TUR,FRG,M-74,ARV,69,Turkey,Germany,0.24,16.56,16.56,10.451526,51.165691,35.243322,38.963745
74,39,PAK,INS,PT-76,Light tank,32,Pakistan,Indonesia,0.36,11.52,11.52,113.921327,-0.789275,69.345116,30.375321
16,7,ETH,IRA,F-86F Sabre,Fighter aircraft,10,Ethiopia,Iran,1.4,14.0,14.0,53.688046,32.427908,40.489673,9.145
16,33,MOR,IRA,F-5A Freedom Fighter,FGA aircraft,6,Morocco,Iran,3.2,19.2,19.2,53.688046,32.427908,-7.09262,31.791702
64,23,FRG,ISR,M-65 120mm,Mortar,515,Germany,Israel,0.05,25.75,25.75,34.851612,31.046051,10.451526,51.165691
64,54,NEP,ISR,AMX-13/75,Light tank,16,Nepal,Israel,0.36,5.76,5.76,34.851612,31.046051,84.124008,28.394857
64,97,UGA,ISR,M-4 Sherman,Tank,12,Uganda,Israel,0.336,4.032,4.032,34.851612,31.046051,32.290275,1.373333
52,9,ARG,ITA,MB-326GB,Trainer/combat ac,8,Argentina,Italy,2.35,18.8,18.8,12.56738,41.87194,-63.616672,-38.416097
52,94,AST,ITA,Bell-206/OH-58,Light helicopter,12,Austria,Italy,0.7,8.4,8.4,12.56738,41.87194,14.550072,47.516231
52,15,AUS,ITA,MB-326B,Trainer/combat ac,75,Australia,Italy,2.1,157.5,157.5,12.56738,41.87194,133.775136,-25.274398
52,22,BEL,ITA,SF-260,Trainer aircraft,36,Belgium,Italy,0.24,8.64,8.64,12.56738,41.87194,4.469936,50.503887
