buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
KON,USR,BA-64B,Reconnaissance AV,200,North Korea,Russia,0.036,7.2,7.2,105.318756,61.52401,127.510093,40.339852
KON,USR,BM-13 132mm,Self-propelled MRL,500,North Korea,Russia,0.24,120,120,105.318756,61.52401,127.510093,40.339852
KON,USR,BS-3 100mm,Towed gun,500,North Korea,Russia,0.14,70,70,105.318756,61.52401,127.510093,40.339852
KON,USR,BTR-152,APC,150,North Korea,Russia,0.13,19.5,19.5,105.318756,61.52401,127.510093,40.339852
KON,USR,BTR-40,APC,100,North Korea,Russia,0.12,12,12,105.318756,61.52401,127.510093,40.339852
KON,USR,Il-10 Sturmovik,Ground attack ac,50,North Korea,Russia,1.8,90,90,105.318756,61.52401,127.510093,40.339852
KON,USR,La-9,Fighter aircraft,175,North Korea,Russia,0.76,133,133,105.318756,61.52401,127.510093,40.339852
KON,USR,M-43 120mm,Mortar,1000,North Korea,Russia,0.05,50,50,105.318756,61.52401,127.510093,40.339852
KON,USR,MiG-15,Fighter aircraft,100,North Korea,Russia,3.2,320,320,105.318756,61.52401,127.510093,40.339852
KON,USR,ML-20 152mm,Towed gun,100,North Korea,Russia,0.2,20,20,105.318756,61.52401,127.510093,40.339852
KON,USR,P-3/Dumbo,Air search radar,10,North Korea,Russia,3.5,35,35,105.318756,61.52401,127.510093,40.339852
KON,USR,Po-2,Trainer aircraft,15,North Korea,Russia,0.012,0.18,0.18,105.318756,61.52401,127.510093,40.339852
KON,USR,Po-2,Trainer aircraft,24,North Korea,Russia,0.012,0.288,0.288,105.318756,61.52401,127.510093,40.339852
KON,USR,SU-76,Self-propelled gun,132,North Korea,Russia,0.12,15.84,15.84,105.318756,61.52401,127.510093,40.339852
KON,USR,T-34-85,Tank,150,North Korea,Russia,0.95,142.5,142.5,105.318756,61.52401,127.510093,40.339852
KON,USR,T-34-85,Tank,500,North Korea,Russia,0.38,190,190,105.318756,61.52401,127.510093,40.339852
KON,USR,Yak-11,Trainer aircraft,10,North Korea,Russia,0.32,3.2,3.2,105.318756,61.52401,127.510093,40.339852
KON,USR,Yak-18,Trainer aircraft,50,North Korea,Russia,0.1,5,5,105.318756,61.52401,127.510093,40.339852
KON,USR,Yak-9,Fighter aircraft,175,North Korea,Russia,0.76,133,133,105.318756,61.52401,127.510093,40.339852
KON,USR,Yak-9,Fighter aircraft,24,North Korea,Russia,0.76,18.24,18.24,105.318756,61.52401,127.510093,40.339852
POL,USR,Il-10 Sturmovik,Ground attack ac,300,Poland,Russia,1.8,540,540,105.318756,61.52401,19.145136,51.919438
POL,USR,M-1943 160mm,Mortar,100,Poland,Russia,0.15,15,15,105.318756,61.52401,19.145136,51.919438
POL,USR,M-30 122mm,Towed gun,280,Poland,Russia,0.45,126,126,105.318756,61.52401,19.145136,51.919438
POL,USR,Yak-17,Fighter aircraft,3,Poland,Russia,1.5,4.5,4.5,105.318756,61.52401,19.145136,51.919438
POL,USR,Yak-17UTI,Trainer aircraft,11,Poland,Russia,1.5,16.5,16.5,105.318756,61.52401,19.145136,51.919438
POL,USR,Yak-23,Fighter aircraft,100,Poland,Russia,2.1,210,210,105.318756,61.52401,19.145136,51.919438
ROM,USR,M-1943 160mm,Mortar,75,Romania,Russia,0.15,11.25,11.25,105.318756,61.52401,24.96676,45.943161
ROM,USR,Yak-18,Trainer aircraft,20,Romania,Russia,0.1,2,2,105.318756,61.52401,24.96676,45.943161
ISR,XXS,River,Frigate,3,Israel,Unknown supplier(s),11.5,34.5,34.5,-12.843791,-24.545272,34.851612,31.046051
